timestamp,length,src_mac,dst_mac,src_ip,dst_ip,protocol,src_port,dst_port,ttl,tcp_flags,has_payload,datetime,encryption_flag,enc_protocol,tls_version,cipher_suite,key_exchange,enc_strength,protocol_enc,enc_flag_enc,flags_enc,src_port_norm,dst_port_norm,ttl_norm,anomaly_pred,anomaly_score,anomaly_label
1700000000.0,702,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.11,93.184.216.34,TLS,32021,443,64,PA,True,2023-11-14 22:13:20.000000000,Encrypted,TLS,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,ECDHE,STRONG,5,0,1,32021,443,64,1,0.18089257124068758,Normal
1700000000.484833,724,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.11,151.101.1.140,SSH,53144,22,64,PA,True,2023-11-14 22:13:20.484833002,Encrypted,SSH,TLS 1.3,TLS_AES_256_GCM_SHA384,ECDHE,STRONG,4,0,1,53144,22,64,1,0.06612378766200777,Normal
1700000000.586886,128,aa:bb:cc:dd:ee:01,02:42:b8:84:18:3d,192.168.1.20,93.184.216.34,HTTP,22356,80,64,PA,True,2023-11-14 22:13:20.586885929,Unencrypted,HTTP,,,,,2,1,1,22356,80,64,1,0.08479942663735951,Normal
1700000000.353047,797,aa:bb:cc:dd:ee:03,02:42:b8:84:18:3d,192.168.1.11,1.1.1.1,TLS,39036,443,64,PA,True,2023-11-14 22:13:20.353046894,Encrypted,TLS,TLS 1.3,TLS_AES_128_GCM_SHA256,ECDHE,STRONG,5,0,1,39036,443,64,1,0.18073545959784765,Normal
1700000001.681522,918,aa:bb:cc:dd:ee:01,02:42:b8:84:18:3d,192.168.1.30,151.101.1.140,HTTP,46741,80,64,PA,True,2023-11-14 22:13:21.681521893,Unencrypted,HTTP,,,,,2,1,1,46741,80,64,1,0.1451667347596815,Normal
1700000000.630654,70,aa:bb:cc:dd:ee:01,02:42:b8:84:18:3d,192.168.1.11,172.217.0.0,DNS,43624,53,64,,True,2023-11-14 22:13:20.630654097,Unencrypted,DNS,,,,,0,1,0,43624,53,64,1,0.11713833770879367,Normal
1700000001.840585,1467,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.30,172.217.0.0,FTP,36990,21,64,PA,True,2023-11-14 22:13:21.840584993,Unencrypted,FTP,,,,,1,1,1,36990,21,64,1,0.014214662742652595,Normal
1700000001.860281,801,aa:bb:cc:dd:ee:04,02:42:b8:84:18:3d,10.0.0.5,151.101.1.140,HTTP,22813,80,64,PA,True,2023-11-14 22:13:21.860280991,Unencrypted,HTTP,,,,,2,1,1,22813,80,64,1,0.12999129880982996,Normal
1700000001.901736,1499,aa:bb:cc:dd:ee:01,02:42:b8:84:18:3d,192.168.1.20,1.1.1.1,FTP,30385,21,64,PA,True,2023-11-14 22:13:21.901736021,Unencrypted,FTP,,,,,1,1,1,30385,21,64,1,0.0012556334167814764,Normal
1700000001.609062,72,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.10,8.8.8.8,DNS,49453,53,64,,True,2023-11-14 22:13:21.609061956,Unencrypted,DNS,,,,,0,1,0,49453,53,64,1,0.06340783055080246,Normal
1700000000.7663,1020,aa:bb:cc:dd:ee:05,02:42:b8:84:18:3d,192.168.1.11,1.1.1.1,HTTP,33229,80,64,PA,True,2023-11-14 22:13:20.766299963,Unencrypted,HTTP,,,,,2,1,1,33229,80,64,1,0.12568499099184471,Normal
1700000004.852081,74,aa:bb:cc:dd:ee:01,02:42:b8:84:18:3d,192.168.1.20,1.1.1.1,DNS,28358,53,64,,True,2023-11-14 22:13:24.852081060,Unencrypted,DNS,,,,,0,1,0,28358,53,64,1,0.08307713584722631,Normal
1700000001.264713,72,aa:bb:cc:dd:ee:04,02:42:b8:84:18:3d,10.0.0.5,151.101.1.140,DNS,18801,53,64,,True,2023-11-14 22:13:21.264713048,Unencrypted,DNS,,,,,0,1,0,18801,53,64,1,0.06938610481527263,Normal
1700000003.410742,81,aa:bb:cc:dd:ee:05,02:42:b8:84:18:3d,192.168.1.30,93.184.216.34,TLS,63133,443,64,PA,True,2023-11-14 22:13:23.410742044,Encrypted,TLS,TLS 1.3,TLS_AES_256_GCM_SHA384,ECDHE,STRONG,5,0,1,63133,443,64,1,0.09235594592241148,Normal
1700000001.894154,766,aa:bb:cc:dd:ee:05,02:42:b8:84:18:3d,192.168.1.20,93.184.216.34,SSH,41616,22,64,PA,True,2023-11-14 22:13:21.894154072,Encrypted,SSH,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,ECDHE,STRONG,4,0,1,41616,22,64,1,0.08483785279081535,Normal
1700000002.334964,151,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.11,1.1.1.1,TLS,32809,443,64,PA,True,2023-11-14 22:13:22.334964037,Encrypted,TLS,TLS 1.2,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,ECDHE,STRONG,5,0,1,32809,443,64,1,0.15788298154079183,Normal
1700000005.959796,711,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.30,151.101.1.140,HTTP,19701,80,64,PA,True,2023-11-14 22:13:25.959795952,Unencrypted,HTTP,,,,,2,1,1,19701,80,64,1,0.12407394555828466,Normal
1700000003.690454,74,aa:bb:cc:dd:ee:02,02:42:b8:84:18:3d,192.168.1.11,8.8.8.8,DNS,40177,53,64,,True,2023-11-14 22:13:23.690454006,Unencrypted,DNS,,,,,0,1,0,40177,53,64,1,0.08247088201004249,Normal
1700000003.82076,661,aa:bb:cc:dd:ee:05,02:42:b8:84:18:3d,192.168.1.10,172.217.0.0,TLS,5983,443,64,PA,True,2023-11-14 22:13:23.820760012,Encrypted,TLS,TLS 1.2,TLS_RSA_WITH_AES_256_CBC_SHA256,RSA,MODERATE,5,0,1,5983,443,64,1,0.16085832150641421,Normal
1700000001.619447,595,aa:bb:cc:dd:ee:04,02:42:b8:84:18:3d,192.168.1.30,93.184.216.34,HTTP,60315,80,64,PA,True,2023-11-14 22:13:21.619446993,Unencrypted,HTTP,,,,,2,1,1,60315,80,64,1,0.11601620054444706,Normal
